frame_number,time_s,accumulated_signal_DN,ramp_to_ramp_std_DN,fractional_rolloff,initial_linear_model_DN
8.100000000000000000e+01,8.493465599999998972e+01,1.153000000000000000e+03,3.666515148384544176e+01,2.700421940928265929e-02,1.185000000000000000e+03
8.200000000000000000e+01,8.598323200000000099e+01,1.166000000000000000e+03,3.815756805667782459e+01,2.833333333333332149e-02,1.200000000000000000e+03
8.300000000000000000e+01,8.703180799999999806e+01,1.179000000000000000e+03,3.869539162915053510e+01,2.962962962962967239e-02,1.215000000000000000e+03
8.400000000000000000e+01,8.808038399999999513e+01,1.194000000000000000e+03,3.905124837953326988e+01,2.926829268292685526e-02,1.230000000000000000e+03
8.500000000000000000e+01,8.912895999999999219e+01,1.208000000000000000e+03,3.988734135035826256e+01,2.971887550200802419e-02,1.245000000000000000e+03
8.600000000000000000e+01,9.017753599999998926e+01,1.220000000000000000e+03,3.842308333974947487e+01,3.174603174603174427e-02,1.260000000000000000e+03
8.700000000000000000e+01,9.122611200000000053e+01,1.236000000000000000e+03,3.611555528208494081e+01,3.058823529411769382e-02,1.275000000000000000e+03
8.800000000000000000e+01,9.227468799999999760e+01,1.250000000000000000e+03,3.789898855290643809e+01,3.100775193798455120e-02,1.290000000000000000e+03
8.900000000000000000e+01,9.332326399999999467e+01,1.264000000000000000e+03,3.784617990409776667e+01,3.141762452107277337e-02,1.305000000000000000e+03
9.000000000000000000e+01,9.437183999999999173e+01,1.275000000000000000e+03,3.897435053981015329e+01,3.409090909090906063e-02,1.320000000000000000e+03
9.100000000000000000e+01,9.542041599999998880e+01,1.292000000000000000e+03,3.724244889907214429e+01,3.220973782771530125e-02,1.335000000000000000e+03
9.200000000000000000e+01,9.646899200000000008e+01,1.306000000000000000e+03,3.754108860080290100e+01,3.259259259259261743e-02,1.350000000000000000e+03
9.300000000000000000e+01,9.751756799999999714e+01,1.321000000000000000e+03,3.724244889907214429e+01,3.223443223443223093e-02,1.365000000000000000e+03
9.400000000000000000e+01,9.856614399999999421e+01,1.335000000000000000e+03,3.842308333974947487e+01,3.260869565217394683e-02,1.380000000000000000e+03
9.500000000000000000e+01,9.961471999999999127e+01,1.347000000000000000e+03,3.781974792794544271e+01,3.440860215053764826e-02,1.395000000000000000e+03
9.600000000000000000e+01,1.006632960000000026e+02,1.362000000000000000e+03,3.601041516006167598e+01,3.404255319148941084e-02,1.410000000000000000e+03
9.700000000000000000e+01,1.017118719999999996e+02,1.373000000000000000e+03,3.868246803570492887e+01,3.649122807017546322e-02,1.425000000000000000e+03
9.800000000000000000e+01,1.027604479999999967e+02,1.388000000000000000e+03,3.781974792794544271e+01,3.611111111111109384e-02,1.440000000000000000e+03
