frame_number,time_s,accumulated_signal_DN,ramp_to_ramp_std_DN,fractional_rolloff,initial_linear_model_DN
1.320000000000000000e+02,7.689557333333333133e+01,3.521000000000000000e+03,9.291573243177570163e+00,2.777435897435897028e-01,4.875000000000000000e+03
1.330000000000000000e+02,7.747811555555554719e+01,3.527000000000000000e+03,7.767453465154028791e+00,2.820356234096692560e-01,4.912500000000000000e+03
1.340000000000000000e+02,7.806065777777777726e+01,3.530000000000000000e+03,7.371114795831993582e+00,2.868686868686868285e-01,4.950000000000000000e+03
1.350000000000000000e+02,7.864319999999999311e+01,3.536000000000000000e+03,6.658328118479393432e+00,2.910275689223057460e-01,4.987500000000000000e+03
1.360000000000000000e+02,7.922574222222222318e+01,3.540000000000000000e+03,6.658328118479393432e+00,2.955223880597015462e-01,5.025000000000000000e+03
1.370000000000000000e+02,7.980828444444443903e+01,3.544000000000000000e+03,5.567764362830021518e+00,2.999506172839506712e-01,5.062500000000000000e+03
1.380000000000000000e+02,8.039082666666665489e+01,3.546000000000000000e+03,5.859465277082315460e+00,3.047058823529411598e-01,5.100000000000000000e+03
1.390000000000000000e+02,8.097336888888888495e+01,3.550000000000000000e+03,5.507570547286102070e+00,3.090024330900242866e-01,5.137500000000000000e+03
1.400000000000000000e+02,8.155591111111110081e+01,3.554000000000000000e+03,3.511884584284246102e+00,3.132367149758453762e-01,5.175000000000000000e+03
1.410000000000000000e+02,8.213845333333333087e+01,3.557000000000000000e+03,3.605551275463989125e+00,3.176019184652277838e-01,5.212500000000000000e+03
1.420000000000000000e+02,8.272099555555554673e+01,3.559000000000000000e+03,3.605551275463989125e+00,3.220952380952381011e-01,5.250000000000000000e+03
1.430000000000000000e+02,8.330353777777777680e+01,3.563000000000000000e+03,2.516611478423583126e+00,3.261465721040188726e-01,5.287500000000000000e+03
1.440000000000000000e+02,8.388607999999999265e+01,3.564000000000000000e+03,1.527525231651946536e+00,3.307042253521126352e-01,5.325000000000000000e+03
1.450000000000000000e+02,8.446862222222222272e+01,3.567000000000000000e+03,2.516611478423583126e+00,3.348251748251748205e-01,5.362500000000000000e+03
1.460000000000000000e+02,8.505116444444443857e+01,3.570000000000000000e+03,1.732050807568877193e+00,3.388888888888889062e-01,5.400000000000000000e+03
1.470000000000000000e+02,8.563370666666665443e+01,3.570000000000000000e+03,1.527525231651946536e+00,3.434482758620689413e-01,5.437500000000000000e+03
1.480000000000000000e+02,8.621624888888888449e+01,3.572000000000000000e+03,1.000000000000000000e+00,3.475799086757991319e-01,5.475000000000000000e+03
1.490000000000000000e+02,8.679879111111110035e+01,3.575000000000000000e+03,2.081665999466132622e+00,3.514739229024943512e-01,5.512500000000000000e+03
1.500000000000000000e+02,8.738133333333333042e+01,3.575000000000000000e+03,2.516611478423583126e+00,3.558558558558558849e-01,5.550000000000000000e+03
1.510000000000000000e+02,8.796387555555554627e+01,3.578000000000000000e+03,1.732050807568877193e+00,3.596420581655480619e-01,5.587500000000000000e+03
1.520000000000000000e+02,8.854641777777777634e+01,3.577000000000000000e+03,1.527525231651946536e+00,3.640888888888889063e-01,5.625000000000000000e+03
1.530000000000000000e+02,8.912895999999999219e+01,3.578000000000000000e+03,2.081665999466132622e+00,3.681236203090507697e-01,5.662500000000000000e+03
1.540000000000000000e+02,8.971150222222222226e+01,3.578000000000000000e+03,1.527525231651946536e+00,3.722807017543859898e-01,5.700000000000000000e+03
1.550000000000000000e+02,9.029404444444443811e+01,3.580000000000000000e+03,1.527525231651946536e+00,3.760348583877995976e-01,5.737500000000000000e+03
